Country,FormalEducation,MajorUndergrad,HomeRemote,CompanySize,CompanyType,YearsCodedJob,DeveloperType,Gender,Race
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,20 or more years,Web developer,Male,White or of European descent
France,Master's degree,Mathematics or statistics,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",16 to 17 years,Web developer; Mobile developer; Embedded applications/devices developer; Graphics programming; Desktop applications developer; DevOps specialist,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time","1,000 to 4,999 employees",Government agency or public school/university,20 or more years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",13 to 14 years,Web developer,Male,White or of European descent
United States,Doctoral degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,,Web developer,Male,White or of European descent
Brazil,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,Venture-funded startup,11 to 12 years,Web developer,Male,Hispanic or Latino/Latina
Croatia,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer,Male,White or of European descent
Germany,Bachelor's degree,Management information systems,Never,"5,000 to 9,999 employees","Privately-held limited company, not in startup mode",4 to 5 years,Web developer,Male,White or of European descent
Turkey,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,I don't know,4 to 5 years,Web developer,Male,White or of European descent
United States,Master's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Mobile developer; Desktop applications developer,Male,White or of European descent
Germany,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",17 to 18 years,Developer with a statistics or mathematics background; Desktop applications developer; Other,Male,White or of European descent
United States,Bachelor's degree,Something else,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Female,White or of European descent
Brazil,Bachelor's degree,Computer science or software engineering,Never,"1,000 to 4,999 employees",Government agency or public school/university,12 to 13 years,Web developer; Desktop applications developer,Male,White or of European descent
United Kingdom,Bachelor's degree,A business discipline,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer,Male,White or of European descent
Mexico,Bachelor's degree,Computer engineering or electrical/electronics engineering,"Less than half the time, but at least one day each week","10,000 or more employees","Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Systems administrator; Quality assurance engineer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer programming or Web development,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,A natural science,A few days each month,"10,000 or more employees",Publicly-traded corporation,4 to 5 years,Other,Male,White or of European descent
United States,Bachelor's degree,Something else,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Developer with a statistics or mathematics background; Desktop applications developer; DevOps specialist; Quality assurance engineer,Male,I don’t know
Estonia,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
Finland,Bachelor's degree,Computer programming or Web development,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,Fewer than 10 employees,Pre-series A startup,Less than a year,Web developer,Male,South Asian
United States,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,Publicly-traded corporation,14 to 15 years,Web developer; DevOps specialist,Male,White or of European descent
United Kingdom,Bachelor's degree,A social science,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Graphics programming; Developer with a statistics or mathematics background; Data scientist; Graphic designer; Desktop applications developer; Database administrator,Male,White or of European descent
Denmark,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,I don't know,2 to 3 years,Machine learning specialist; Data scientist,Male,White or of European descent
Lithuania,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Other,Male,White or of European descent
United Kingdom,Master's degree,A business discipline,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; Mobile developer; Desktop applications developer; DevOps specialist,Male,White or of European descent
Israel,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Venture-funded startup,15 to 16 years,Web developer,,
United States,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Non-profit/non-governmental organization or private school/university,15 to 16 years,Web developer,Male,White or of European descent
France,Master's degree,Computer science or software engineering,It's complicated,10 to 19 employees,I don't know,10 to 11 years,Web developer,Male,White or of European descent
Israel,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Government agency or public school/university,3 to 4 years,Web developer; Data scientist,Male,Middle Eastern
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Database administrator; Systems administrator; DevOps specialist,Male,White or of European descent
Sweden,Master's degree,Computer science or software engineering,A few days each month,500 to 999 employees,I don't know,Less than a year,Web developer,,
Ukraine,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,Pre-series A startup,4 to 5 years,Web developer; Database administrator; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",4 to 5 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,Male,White or of European descent
Russian Federation,Secondary school,,All or almost all the time (I'm full-time remote),10 to 19 employees,Venture-funded startup,6 to 7 years,Web developer; Graphic designer; Systems administrator; DevOps specialist; Quality assurance engineer,Male,White or of European descent
United Kingdom,I never completed any formal education,,A few days each month,20 to 99 employees,Venture-funded startup,14 to 15 years,Web developer; Mobile developer; Graphics programming; Graphic designer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,1 to 2 years,Web developer,Male,I prefer not to say
Germany,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,I don't know,1 to 2 years,Web developer; Embedded applications/devices developer; Systems administrator,Male,White or of European descent
Canada,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,10 to 11 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer programming or Web development,Never,"1,000 to 4,999 employees",Publicly-traded corporation,7 to 8 years,Web developer,Male,White or of European descent
United States,Master's degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,15 to 16 years,Mobile developer; Graphics programming; Desktop applications developer,Male,White or of European descent
Canada,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years,Web developer; Database administrator; DevOps specialist,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer programming or Web development,It's complicated,"1,000 to 4,999 employees",Government agency or public school/university,8 to 9 years,Web developer; Database administrator; Systems administrator,Male,White or of European descent
Poland,Bachelor's degree,A humanities discipline,It's complicated,Fewer than 10 employees,I don't know,Less than a year,Web developer; Database administrator,Male,White or of European descent
Netherlands,Bachelor's degree,Computer programming or Web development,About half the time,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees",Pre-series A startup,4 to 5 years,Developer with a statistics or mathematics background,Female,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,Less than a year,Web developer,Male,South Asian
United States,Some college/university study without earning a bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),Fewer than 10 employees,Pre-series A startup,15 to 16 years,Web developer; Database administrator; Systems administrator,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,A non-computer-focused engineering discipline,Never,10 to 19 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Mobile developer; Database administrator,,
United States,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,Non-profit/non-governmental organization or private school/university,20 or more years,Web developer; Other,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),500 to 999 employees,"Privately-held limited company, not in startup mode",11 to 12 years,Web developer,Male,White or of European descent
Uruguay,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,8 to 9 years,Web developer,Male,White or of European descent
Poland,Master's degree,Computer science or software engineering,A few days each month,"5,000 to 9,999 employees",Publicly-traded corporation,5 to 6 years,Desktop applications developer,Male,White or of European descent
Netherlands,Bachelor's degree,Computer programming or Web development,A few days each month,10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,I don't know,6 to 7 years,Web developer; Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,Never,"1,000 to 4,999 employees",Publicly-traded corporation,6 to 7 years,Embedded applications/devices developer,Male,White or of European descent
United States,Bachelor's degree,Management information systems,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Other,White or of European descent
United States,Master's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),500 to 999 employees,"Sole proprietorship or partnership, not in startup mode",15 to 16 years,Database administrator; Other,Male,White or of European descent
United States,Master's degree,A non-computer-focused engineering discipline,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",6 to 7 years,Graphics programming; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Male,White or of European descent
Greece,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,100 to 499 employees,Government agency or public school/university,3 to 4 years,Systems administrator; Quality assurance engineer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,"5,000 to 9,999 employees",Publicly-traded corporation,2 to 3 years,Web developer,Male,South Asian
United States,Bachelor's degree,A business discipline,Never,10 to 19 employees,Pre-series A startup,20 or more years,Embedded applications/devices developer; Quality assurance engineer,Male,White or of European descent
United Kingdom,Master's degree,A natural science,It's complicated,500 to 999 employees,"Privately-held limited company, not in startup mode",17 to 18 years,Web developer; Desktop applications developer; DevOps specialist,Male,White or of European descent
Costa Rica,Some college/university study without earning a bachelor's degree,Computer science or software engineering,About half the time,100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Web developer,Male,Hispanic or Latino/Latina
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Web developer; DevOps specialist,Other,White or of European descent
Italy,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",8 to 9 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Management information systems,All or almost all the time (I'm full-time remote),"10,000 or more employees",Publicly-traded corporation,18 to 19 years,Web developer,Male,White or of European descent
Canada,Doctoral degree,A natural science,"Less than half the time, but at least one day each week","1,000 to 4,999 employees",Publicly-traded corporation,17 to 18 years,Developer with a statistics or mathematics background,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer,Male,Black or of African descent; White or of European descent
Israel,I never completed any formal education,,A few days each month,20 to 99 employees,Venture-funded startup,11 to 12 years,Web developer,Male,Middle Eastern; White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,Web developer,Male,South Asian
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Venture-funded startup,4 to 5 years,Mobile developer,Male,White or of European descent
Israel,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,Venture-funded startup,3 to 4 years,Web developer,Male,White or of European descent
Netherlands,Secondary school,,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",11 to 12 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Psychology,All or almost all the time (I'm full-time remote),100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer,Male,I prefer not to say
Argentina,Secondary school,,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer; Mobile developer; DevOps specialist,Male,Hispanic or Latino/Latina; White or of European descent
Canada,Secondary school,,Never,"10,000 or more employees",Publicly-traded corporation,Less than a year,Embedded applications/devices developer; Quality assurance engineer,Male,White or of European descent
Iran,Bachelor's degree,Computer science or software engineering,About half the time,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Male,Middle Eastern
Slovenia,Secondary school,,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Embedded applications/devices developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,7 to 8 years,Web developer,Male,
Russian Federation,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Desktop applications developer,Male,East Asian
Germany,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",5 to 6 years,DevOps specialist; Other,Male,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,Desktop applications developer,Male,White or of European descent
El Salvador,Bachelor's degree,Computer science or software engineering,Never,10 to 19 employees,Venture-funded startup,2 to 3 years,Web developer,Male,Hispanic or Latino/Latina
United Kingdom,Bachelor's degree,A humanities discipline,A few days each month,500 to 999 employees,Government agency or public school/university,8 to 9 years,Web developer,Male,White or of European descent
Germany,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer,Male,White or of European descent
Finland,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,Web developer; Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,"More than half, but not all, the time","10,000 or more employees",Publicly-traded corporation,4 to 5 years,Mobile developer,Male,White or of European descent
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,Web developer,,
United States,Bachelor's degree,A humanities discipline,It's complicated,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
Israel,Bachelor's degree,Mathematics or statistics,About half the time,500 to 999 employees,"Privately-held limited company, not in startup mode",13 to 14 years,Web developer; Developer with a statistics or mathematics background; DevOps specialist,Male,I don’t know
Canada,Bachelor's degree,Mathematics or statistics,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
United States,Master's degree,A social science,Never,"10,000 or more employees",Publicly-traded corporation,8 to 9 years,Developer with a statistics or mathematics background,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",Fewer than 10 employees,"Privately-held limited company, not in startup mode",5 to 6 years,Web developer; Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"1,000 to 4,999 employees",Something else,7 to 8 years,Web developer; Desktop applications developer,Male,White or of European descent
United States,Bachelor's degree,Management information systems,A few days each month,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",20 or more years,Web developer; Systems administrator; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",7 to 8 years,Web developer,Male,White or of European descent
Portugal,Master's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",10 to 11 years,Web developer,,
United States,Primary/elementary school,,A few days each month,20 to 99 employees,Publicly-traded corporation,1 to 2 years,Web developer; Other,Female; Transgender,White or of European descent
United Kingdom,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,I don't know,3 to 4 years,Mobile developer,,
Germany,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,20 or more years,Web developer,Male,White or of European descent
Switzerland,Primary/elementary school,,Never,"10,000 or more employees",State-owned company,4 to 5 years,Web developer; Mobile developer,Male,White or of European descent
Sweden,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years,Web developer; Mobile developer; Developer with a statistics or mathematics background; Desktop applications developer,Male,White or of European descent
Brazil,Master's degree,A non-computer-focused engineering discipline,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",2 to 3 years,Desktop applications developer,Male,White or of European descent
United States,Master's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Developer with a statistics or mathematics background,Male,Middle Eastern
Netherlands,Some college/university study without earning a bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,7 to 8 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; Embedded applications/devices developer; Machine learning specialist; Desktop applications developer,Male,White or of European descent
Russian Federation,Professional degree,Mathematics or statistics,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",9 to 10 years,Web developer,Male,White or of European descent
Brazil,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,10 to 19 employees,"Sole proprietorship or partnership, not in startup mode",9 to 10 years,Web developer,Male,Hispanic or Latino/Latina; White or of European descent
Germany,Secondary school,,A few days each month,20 to 99 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Web developer; Data scientist; Systems administrator,Male,White or of European descent
United Kingdom,Master's degree,Computer science or software engineering,About half the time,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",17 to 18 years,Machine learning specialist; Data scientist,Male,White or of European descent
Albania,Bachelor's degree,Computer science or software engineering,Never,Fewer than 10 employees,I don't know,2 to 3 years,Web developer,,
United States,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",10 to 19 employees,Venture-funded startup,8 to 9 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",Less than a year,Developer with a statistics or mathematics background; Desktop applications developer,Gender non-conforming,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,"More than half, but not all, the time",500 to 999 employees,"Privately-held limited company, not in startup mode",20 or more years,Web developer; Other,,
United States,Bachelor's degree,Computer science or software engineering,A few days each month,500 to 999 employees,Publicly-traded corporation,13 to 14 years,Web developer; Desktop applications developer,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer science or software engineering,It's complicated,"1,000 to 4,999 employees",Government agency or public school/university,16 to 17 years,Web developer; Mobile developer; Data scientist; Desktop applications developer; Quality assurance engineer; Other,Male,White or of European descent
Brazil,Bachelor's degree,Computer programming or Web development,All or almost all the time (I'm full-time remote),100 to 499 employees,Venture-funded startup,11 to 12 years,Web developer; DevOps specialist,Male,White or of European descent
Austria,Master's degree,Computer science or software engineering,A few days each month,100 to 499 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Developer with a statistics or mathematics background; Data scientist; Desktop applications developer,Male,White or of European descent
India,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees","Privately-held limited company, not in startup mode",2 to 3 years,Web developer; Desktop applications developer,Male,South Asian
United Kingdom,Master's degree,A natural science,All or almost all the time (I'm full-time remote),Fewer than 10 employees,"Privately-held limited company, not in startup mode",14 to 15 years,Web developer; Data scientist; Desktop applications developer; Systems administrator; DevOps specialist,Male,White or of European descent
Romania,Master's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",12 to 13 years,Web developer; Mobile developer,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,It's complicated,"5,000 to 9,999 employees",Publicly-traded corporation,17 to 18 years,Other,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,A few days each month,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,Web developer,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer programming or Web development,A few days each month,Fewer than 10 employees,"Sole proprietorship or partnership, not in startup mode",Less than a year,Web developer,,
India,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",2 to 3 years,Web developer; Developer with a statistics or mathematics background,Male,South Asian
United States,Doctoral degree,A non-computer-focused engineering discipline,It's complicated,"10,000 or more employees",Publicly-traded corporation,3 to 4 years,Other,Male,South Asian
Brazil,Bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",100 to 499 employees,"Privately-held limited company, not in startup mode",6 to 7 years,Mobile developer,,
Finland,Master's degree,Computer engineering or electrical/electronics engineering,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",1 to 2 years,Web developer; Desktop applications developer; Other,Male,White or of European descent
Sweden,Some college/university study without earning a bachelor's degree,Computer science or software engineering,Never,20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Embedded applications/devices developer,Male,White or of European descent
Canada,Some college/university study without earning a bachelor's degree,Computer science or software engineering,"Less than half the time, but at least one day each week",20 to 99 employees,I don't know,4 to 5 years,Web developer,Male,White or of European descent
United States,Bachelor's degree,Computer science or software engineering,Never,500 to 999 employees,"Privately-held limited company, not in startup mode",3 to 4 years,Graphics programming; Machine learning specialist; Developer with a statistics or mathematics background; Data scientist; Desktop applications developer; DevOps specialist,Male,White or of European descent
United States,Bachelor's degree,Management information systems,A few days each month,500 to 999 employees,"Privately-held limited company, not in startup mode",15 to 16 years,Web developer; Desktop applications developer,Male,East Asian; South Asian
United States,Bachelor's degree,A natural science,All or almost all the time (I'm full-time remote),20 to 99 employees,"Privately-held limited company, not in startup mode",8 to 9 years,Desktop applications developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,Computer programming or Web development,Never,"1,000 to 4,999 employees","Privately-held limited company, not in startup mode",9 to 10 years,Web developer; Database administrator,Male,"Native American, Pacific Islander, or Indigenous Australian; White or of European descent"
Sweden,Bachelor's degree,Computer science or software engineering,Never,100 to 499 employees,I don't know,6 to 7 years,Desktop applications developer,Male,I don’t know
Canada,Bachelor's degree,Computer science or software engineering,A few days each month,10 to 19 employees,Venture-funded startup,7 to 8 years,Mobile developer,Male,White or of European descent
Canada,Bachelor's degree,Something else,A few days each month,"10,000 or more employees",Something else,20 or more years,Other,Male,White or of European descent
United States,Bachelor's degree,Computer engineering or electrical/electronics engineering,A few days each month,20 to 99 employees,"Sole proprietorship or partnership, not in startup mode",1 to 2 years,Web developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,A business discipline,Never,20 to 99 employees,I don't know,7 to 8 years,Web developer,Male,White or of European descent
United States,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",All or almost all the time (I'm full-time remote),10 to 19 employees,"Privately-held limited company, not in startup mode",10 to 11 years,Web developer; Database administrator; Systems administrator; DevOps specialist,Male,White or of European descent
